school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G1.y,G2.y,G3.y
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no,mother,2,2,0,yes,no,no,no,yes,no,4,3,4,1,1,3,4,A,C,C,0,11,11
MS,M,19,R,GT3,T,1,1,other,services,other,yes,no,mother,2,1,1,no,no,no,no,yes,no,4,3,2,1,3,5,0,A,B,A,5,8,0
GP,M,15,R,GT3,T,2,3,at_home,services,course,yes,no,mother,1,2,0,yes,no,yes,yes,yes,no,4,4,4,1,1,1,0,B,B,B,7,8,8
GP,M,18,U,GT3,T,2,1,services,services,other,no,yes,mother,1,1,2,no,no,no,no,no,no,3,2,5,2,5,5,4,B,B,B,7,8,6
GP,M,18,U,GT3,T,3,2,services,other,course,yes,yes,mother,2,1,0,no,no,no,no,no,no,4,4,5,2,4,5,8,B,B,B,7,8,7
GP,M,22,U,GT3,T,3,1,services,services,other,no,yes,mother,1,1,3,no,no,no,no,no,yes,5,4,5,5,5,1,12,B,B,A,7,8,5
MS,F,17,R,GT3,T,1,2,other,other,course,yes,yes,mother,1,1,0,no,no,no,yes,yes,no,3,5,5,1,3,1,4,B,B,B,7,8,9
MS,F,18,R,GT3,T,4,4,other,teacher,other,no,yes,father,3,2,0,no,yes,no,no,yes,yes,3,2,2,4,2,5,0,B,A,A,7,5,0
MS,F,18,R,GT3,T,4,4,teacher,at_home,reputation,yes,yes,mother,3,1,0,no,yes,no,yes,yes,yes,4,4,3,2,2,5,4,B,B,B,7,9,10
MS,F,18,U,GT3,T,1,1,other,other,course,yes,no,mother,3,2,2,no,no,no,yes,yes,yes,3,4,4,2,2,5,3,B,B,B,7,8,7
MS,M,18,R,GT3,T,2,1,other,other,other,no,yes,mother,2,1,0,no,no,no,yes,yes,yes,4,4,3,1,3,5,0,B,B,A,7,7,0
MS,M,18,R,GT3,T,4,2,other,other,home,yes,no,father,2,1,1,no,no,yes,no,yes,no,5,4,3,4,3,3,0,B,B,A,7,7,0
GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,mother,1,2,1,yes,no,no,yes,yes,no,3,1,2,1,1,5,12,B,B,B,8,10,10
GP,F,17,U,GT3,T,3,4,at_home,services,home,yes,yes,mother,1,3,1,no,yes,yes,no,yes,yes,4,4,3,3,4,5,14,B,B,B,8,9,8
GP,F,18,R,GT3,T,2,1,other,other,reputation,yes,yes,mother,2,2,0,no,yes,no,no,no,yes,4,3,5,1,2,3,12,B,B,B,8,9,10
GP,F,18,R,GT3,T,3,1,other,other,reputation,yes,yes,mother,1,2,0,no,no,no,yes,yes,yes,5,3,3,1,1,4,4,B,B,B,8,8,8
GP,M,17,R,LE3,T,1,1,other,services,course,yes,no,mother,4,2,0,no,no,no,yes,no,yes,5,3,5,1,5,5,0,B,B,B,8,8,8
GP,M,17,R,LE3,T,2,1,at_home,other,course,yes,yes,mother,2,1,1,no,no,yes,yes,no,yes,3,3,2,2,2,5,8,B,B,B,8,8,9
GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes,mother,1,1,3,no,yes,yes,yes,yes,no,5,5,5,2,4,5,2,B,B,B,8,8,7
GP,M,18,U,GT3,T,2,2,other,services,reputation,yes,yes,father,1,2,0,no,no,no,no,no,no,5,5,4,3,5,2,16,B,B,B,8,7,8
MS,F,17,R,GT3,T,1,1,other,services,reputation,yes,yes,mother,3,1,1,no,yes,no,no,yes,yes,5,2,1,1,2,1,0,B,B,B,8,8,9
MS,F,17,R,GT3,T,3,1,at_home,other,reputation,no,yes,mother,1,2,0,no,yes,no,yes,yes,no,4,5,4,2,3,1,10,B,B,B,8,9,9
MS,M,17,U,GT3,T,3,3,health,other,course,yes,yes,mother,2,2,1,no,yes,no,no,yes,no,4,5,4,2,3,3,4,B,B,B,8,9,10
MS,M,18,R,GT3,T,1,3,at_home,other,course,yes,no,mother,2,2,0,no,yes,yes,no,yes,no,3,3,4,2,4,3,0,B,B,B,8,10,9
MS,M,19,R,GT3,T,1,1,other,other,home,yes,yes,other,3,1,1,no,yes,no,no,yes,no,4,4,4,3,3,5,4,B,B,B,8,9,10
GP,F,16,U,GT3,A,3,3,other,other,course,no,yes,other,2,1,0,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,B,B,B,9,9,10
GP,F,16,U,GT3,T,2,1,other,other,home,yes,yes,mother,1,1,0,no,no,no,no,yes,yes,4,5,2,1,1,5,4,B,B,B,9,10,10
GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,mother,1,3,0,no,yes,no,no,yes,yes,4,3,3,1,3,4,2,B,C,C,9,11,11
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,father,1,2,0,no,yes,no,no,yes,no,5,3,3,1,1,3,2,B,C,C,9,11,11
GP,F,19,U,GT3,T,0,1,at_home,other,course,no,no,other,1,2,2,no,yes,no,no,no,no,3,4,2,1,1,5,0,B,B,C,9,10,11
GP,M,15,U,GT3,T,2,2,services,services,course,yes,yes,father,1,1,0,yes,yes,no,no,yes,no,5,4,1,1,1,1,0,B,B,B,9,10,10
GP,M,15,U,GT3,T,3,4,services,services,home,yes,yes,father,1,1,0,yes,no,no,no,yes,no,5,5,5,3,2,5,2,B,B,B,9,9,9
GP,M,15,U,GT3,T,4,3,teacher,services,course,yes,yes,father,2,4,0,yes,yes,no,no,yes,no,2,2,2,1,1,3,6,B,C,C,9,11,11
GP,M,16,R,GT3,T,4,3,services,other,reputation,no,yes,mother,2,1,0,yes,yes,yes,yes,yes,no,3,3,3,1,1,4,6,B,C,C,9,11,11
GP,M,16,U,GT3,T,2,2,other,other,course,yes,yes,father,1,2,0,no,no,no,no,no,no,4,3,5,2,4,4,0,B,B,C,9,10,11
GP,M,16,U,GT3,T,3,3,at_home,other,reputation,no,yes,other,3,2,1,yes,yes,no,no,yes,no,5,3,3,1,3,2,4,B,C,B,9,11,10
GP,M,16,U,GT3,T,3,4,other,other,course,no,yes,father,3,1,1,no,yes,no,yes,yes,no,3,4,5,2,4,2,4,B,B,B,9,9,10
GP,M,16,U,GT3,T,4,4,services,services,other,yes,yes,mother,1,1,0,yes,yes,no,yes,yes,no,4,5,5,5,5,4,12,B,B,B,9,9,8
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,mother,1,1,0,no,yes,no,no,no,yes,3,3,2,2,1,5,16,B,B,B,9,9,8
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,mother,1,1,0,no,yes,no,no,no,yes,3,3,2,2,1,5,16,B,B,B,9,9,8
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,yes,no,mother,1,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,6,B,B,B,9,9,10
GP,M,16,U,LE3,T,1,1,other,other,home,yes,yes,mother,2,2,0,no,yes,no,no,yes,no,3,4,2,1,1,5,2,B,B,B,9,9,9
GP,M,16,U,LE3,T,2,1,at_home,other,course,yes,no,mother,1,1,1,no,no,no,yes,yes,yes,4,4,4,3,5,5,6,B,B,B,9,10,10
GP,M,17,R,GT3,T,1,2,at_home,other,home,yes,no,mother,1,2,0,no,no,no,no,yes,no,3,1,3,1,5,3,6,B,B,B,9,9,10
GP,M,17,R,LE3,T,1,2,other,other,reputation,yes,no,mother,1,1,3,no,no,no,no,yes,no,2,2,2,3,3,5,14,B,B,B,9,8,10
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,mother,2,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,0,B,B,B,9,9,10
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,5,4,5,1,2,5,22,B,B,B,9,7,6
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,mother,2,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,0,B,B,B,9,9,10
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,5,4,5,1,2,5,22,B,B,B,9,7,6
GP,M,17,U,GT3,T,2,3,other,other,course,yes,yes,father,2,1,0,no,no,no,no,yes,no,5,2,2,1,1,2,2,B,C,C,9,12,13
GP,M,17,U,LE3,T,1,1,health,other,course,yes,yes,mother,2,1,1,no,yes,no,yes,yes,no,4,4,4,1,2,5,0,B,B,B,9,10,10
GP,M,18,U,LE3,T,2,1,at_home,other,course,yes,yes,mother,4,2,0,yes,yes,no,yes,yes,yes,4,3,2,4,5,3,2,B,B,C,9,10,11
MS,M,18,R,GT3,T,3,2,other,other,course,no,yes,mother,2,1,0,no,yes,no,no,yes,no,2,5,5,5,5,5,8,B,B,C,9,10,11
MS,M,18,R,LE3,T,1,2,at_home,services,other,yes,yes,father,3,1,0,no,yes,no,yes,no,yes,4,3,3,2,3,3,3,B,B,B,9,10,10
MS,M,18,U,LE3,T,1,3,at_home,services,course,yes,yes,mother,1,1,0,no,no,no,no,no,yes,4,3,3,2,3,3,0,B,B,B,9,10,9
GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,B,C,B,10,11,10
GP,F,15,R,GT3,T,3,4,services,teacher,course,yes,yes,father,2,3,0,no,yes,no,no,yes,yes,4,2,2,2,2,5,0,B,C,C,10,11,12
GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,father,1,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,B,B,B,10,10,10
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,father,3,3,0,no,yes,no,yes,yes,no,5,2,2,1,1,4,0,B,C,C,10,12,13
GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,mother,1,4,0,yes,yes,no,no,yes,no,5,1,2,1,1,3,4,B,B,B,10,10,10
GP,F,15,U,LE3,A,3,4,other,other,home,yes,yes,mother,1,2,0,yes,no,no,yes,yes,yes,5,3,2,1,1,1,0,B,C,C,10,11,11
GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,B,C,C,10,11,11
GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,father,4,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,5,5,0,B,B,D,10,10,16
GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,mother,1,1,0,no,yes,no,no,yes,no,1,2,2,1,3,5,6,B,C,C,10,11,12
GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,mother,1,4,0,yes,yes,no,no,yes,no,4,3,3,1,2,5,0,B,B,B,10,9,10
GP,F,16,U,LE3,T,1,1,at_home,at_home,course,yes,yes,mother,1,1,0,no,no,no,no,yes,no,3,4,4,3,3,1,4,B,C,C,10,11,11
GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,father,2,2,1,yes,no,no,yes,yes,no,4,3,3,2,2,5,14,B,C,C,10,11,11
GP,F,17,U,GT3,A,2,2,at_home,at_home,home,yes,yes,father,1,2,0,no,yes,no,no,yes,yes,3,3,1,1,2,4,18,B,C,C,10,12,14
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,mother,2,2,0,yes,yes,no,no,yes,no,4,1,4,1,1,1,2,B,C,C,10,13,13
GP,F,17,U,LE3,T,2,2,services,services,course,yes,yes,father,1,4,0,no,no,no,yes,yes,yes,3,4,1,1,1,2,2,B,C,C,10,11,12
GP,F,18,R,GT3,T,4,4,teacher,other,reputation,yes,yes,mother,2,2,0,no,no,no,yes,yes,no,4,3,4,2,2,4,8,B,C,C,10,11,12
GP,F,18,U,GT3,T,3,3,services,services,home,yes,yes,mother,1,2,0,no,no,no,yes,yes,no,5,3,4,1,1,4,8,B,C,C,10,11,12
GP,F,18,U,LE3,T,2,2,other,other,home,no,yes,other,1,2,0,no,no,no,yes,yes,yes,4,3,3,1,1,2,0,B,B,C,10,9,12
GP,M,15,R,GT3,T,2,1,health,services,reputation,yes,yes,mother,1,2,0,no,no,no,yes,yes,yes,5,4,2,1,1,5,4,B,B,B,10,9,10
GP,M,15,U,GT3,T,2,3,other,other,home,no,yes,mother,1,3,0,yes,no,no,no,yes,no,5,3,2,1,2,5,2,B,B,B,10,9,9
GP,M,15,U,GT3,T,4,4,health,services,home,no,yes,mother,1,2,0,no,yes,yes,no,yes,no,5,4,2,3,4,5,0,B,C,C,10,11,11
GP,M,15,U,LE3,A,4,2,health,health,other,yes,no,father,2,1,0,no,no,no,no,yes,no,5,5,5,3,4,5,4,B,B,B,10,9,9
GP,M,15,U,LE3,T,4,4,teacher,other,home,no,yes,other,1,1,0,no,yes,no,no,yes,yes,5,4,3,2,4,5,8,B,C,C,10,11,11
GP,M,16,R,GT3,T,4,2,teacher,services,other,yes,yes,mother,1,1,0,no,yes,no,yes,yes,yes,4,3,3,3,4,3,8,B,B,C,10,9,11
GP,M,16,R,LE3,T,3,3,teacher,other,home,yes,yes,father,3,1,0,no,yes,no,yes,yes,no,3,3,4,3,5,3,16,B,C,C,10,11,12
GP,M,16,U,GT3,T,1,2,services,services,other,yes,yes,mother,1,1,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,0,B,B,C,10,9,11
GP,M,16,U,GT3,T,3,3,other,services,course,yes,yes,father,1,2,1,no,yes,no,no,yes,yes,4,5,5,4,4,5,0,B,B,A,10,10,1
GP,M,16,U,LE3,T,1,1,services,other,course,yes,no,mother,1,2,2,no,no,no,no,yes,yes,4,4,4,1,3,5,0,B,B,B,10,10,10
GP,M,16,U,LE3,T,2,2,other,other,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,5,4,4,2,4,5,2,B,B,B,10,10,10
GP,M,17,R,GT3,T,3,4,at_home,other,course,yes,no,mother,3,2,0,no,no,no,no,yes,no,5,4,5,2,4,5,2,B,B,B,10,9,10
GP,M,17,U,GT3,T,1,2,at_home,services,other,no,yes,other,2,2,0,no,no,no,yes,yes,no,4,4,4,4,5,5,16,B,C,C,10,11,12
GP,M,17,U,LE3,T,2,3,services,services,reputation,no,yes,father,1,2,0,no,yes,no,no,yes,no,5,3,3,1,3,3,0,B,C,C,10,11,11
GP,M,17,U,LE3,T,4,3,teacher,other,course,yes,yes,mother,2,2,0,no,no,no,yes,yes,no,4,4,4,4,4,4,0,B,C,C,10,11,11
GP,M,18,R,GT3,T,3,2,other,other,course,no,no,mother,1,3,0,no,no,no,yes,yes,no,5,3,2,1,1,3,2,B,C,C,10,11,12
GP,M,18,R,LE3,T,3,3,other,services,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,yes,4,3,3,1,3,5,8,B,B,B,10,9,10
GP,M,18,U,GT3,T,2,2,other,other,home,yes,yes,mother,2,2,3,no,yes,yes,no,yes,no,3,3,3,5,5,4,9,B,B,B,10,9,10
GP,M,18,U,GT3,T,4,2,health,other,reputation,yes,yes,father,1,2,0,no,yes,no,yes,yes,yes,5,4,5,1,3,5,4,B,C,C,10,12,14
GP,M,18,U,GT3,T,4,3,teacher,other,course,no,yes,mother,1,2,0,no,yes,no,no,yes,no,4,3,2,1,1,3,2,B,B,C,10,10,11
GP,M,18,U,LE3,T,3,3,services,health,home,yes,yes,father,1,2,0,no,yes,no,no,yes,no,3,2,4,2,4,4,10,B,B,B,10,10,10
GP,M,18,U,LE3,T,4,3,teacher,services,course,yes,yes,mother,2,1,0,no,no,no,yes,yes,no,4,2,3,1,2,1,0,B,B,B,10,10,10
GP,M,19,R,GT3,T,3,3,other,services,reputation,yes,no,father,1,2,0,no,no,no,yes,yes,yes,4,5,3,1,2,5,0,B,B,C,10,10,11
MS,F,17,U,GT3,T,2,2,other,at_home,home,yes,no,mother,1,3,0,no,no,no,yes,yes,yes,3,4,3,1,1,3,8,B,C,C,10,11,12
MS,F,18,R,GT3,T,1,1,other,other,home,yes,yes,mother,4,3,0,no,no,no,no,yes,no,4,3,2,1,2,4,4,B,C,C,10,11,12
MS,F,18,U,GT3,T,2,3,at_home,services,course,yes,yes,father,2,1,0,no,yes,no,no,yes,yes,5,2,3,1,2,4,0,B,B,B,10,10,10
MS,F,18,U,GT3,T,3,3,services,services,course,yes,no,father,1,2,0,no,yes,no,no,yes,yes,5,3,4,1,1,5,0,B,B,B,10,10,10
MS,F,19,R,GT3,T,2,3,services,other,course,no,yes,mother,1,3,1,no,no,no,yes,yes,no,5,4,2,1,2,5,4,B,C,B,10,11,10
MS,M,17,R,GT3,T,4,3,services,other,home,no,yes,mother,2,2,1,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,4,B,C,C,10,11,11
MS,M,17,U,LE3,T,3,1,services,services,course,no,yes,mother,2,1,0,no,no,no,no,yes,no,2,4,5,3,4,2,6,B,B,B,10,10,10
MS,M,18,R,LE3,T,3,2,services,other,course,no,yes,mother,3,1,0,no,no,no,no,yes,no,4,4,1,3,4,5,4,B,C,C,10,11,11
MS,M,19,R,GT3,T,1,1,other,services,home,yes,yes,other,3,2,1,no,no,no,no,yes,no,5,4,4,3,3,2,8,B,B,C,10,9,11
GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,mother,1,3,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,2,C,C,C,11,12,12
GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,mother,2,2,0,yes,yes,no,no,yes,no,4,1,3,1,3,4,0,C,B,C,11,10,11
GP,F,15,U,GT3,T,1,1,at_home,other,course,no,yes,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,C,C,C,11,12,13
GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,father,2,1,0,no,yes,no,yes,yes,no,3,5,1,1,1,5,4,C,C,C,11,11,11
GP,F,15,U,GT3,T,3,2,health,services,home,yes,yes,father,1,2,1,no,yes,no,no,yes,no,3,3,2,1,1,3,2,C,C,C,11,11,11
GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,mother,2,2,0,yes,yes,no,no,yes,no,4,3,5,1,1,2,16,C,B,B,11,10,10
GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,father,1,3,0,yes,yes,no,yes,yes,no,4,1,2,1,1,2,4,C,C,C,11,11,11
GP,F,16,U,GT3,A,3,1,services,other,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,2,3,3,2,2,4,2,C,C,C,11,11,12
GP,F,16,U,GT3,T,2,3,other,other,reputation,yes,no,mother,1,2,0,yes,yes,no,yes,yes,no,4,4,3,1,3,4,4,C,C,C,11,12,12
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,father,1,2,0,no,yes,no,no,yes,no,4,3,2,1,2,5,0,C,C,C,11,13,13
GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,mother,1,2,0,yes,yes,no,yes,yes,no,4,3,3,2,4,5,4,C,C,C,11,11,11
GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,mother,2,2,0,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,C,C,B,11,11,10
GP,F,16,U,LE3,T,4,4,teacher,teacher,reputation,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,5,2,1,2,3,0,C,B,C,11,10,11
GP,F,17,R,GT3,T,2,1,at_home,services,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,4,2,5,1,2,5,0,C,B,C,11,10,11
GP,F,17,R,GT3,T,4,3,teacher,other,reputation,yes,yes,mother,2,3,0,no,yes,no,yes,yes,yes,4,4,2,1,1,4,0,C,C,C,11,12,12
GP,F,17,R,LE3,T,2,2,services,services,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,3,3,2,2,2,3,0,C,C,B,11,11,10
GP,F,17,U,GT3,T,3,4,services,other,course,yes,yes,mother,1,3,0,no,no,no,no,yes,no,4,4,5,1,3,5,8,C,C,C,11,13,14
GP,F,17,U,GT3,T,4,3,health,other,reputation,yes,yes,mother,1,3,0,no,yes,no,yes,yes,yes,4,4,3,1,3,4,0,C,C,C,11,12,13
GP,F,17,U,GT3,T,4,3,other,other,reputation,yes,yes,mother,1,2,0,no,no,no,no,yes,yes,3,4,5,2,4,1,16,C,B,B,11,9,10
GP,F,17,U,GT3,T,4,4,teacher,services,course,yes,yes,mother,1,2,0,no,yes,yes,no,yes,yes,5,3,1,1,4,5,2,C,C,C,11,11,12
GP,F,18,R,GT3,T,1,1,at_home,other,course,no,no,mother,3,1,3,no,yes,no,yes,yes,no,5,2,5,1,5,4,6,C,B,C,11,10,11
